tool,frame,gt_yaw,flip_trap,n_pts,err_raw,err_pose,err_smooth,signed_raw,signed_smooth
pliers_box,133,96.5,1,333,0.3062,2.0914,0.3062,179.69,0.31
pliers_box,134,97.0,1,333,0.3874,1.3038,0.3874,179.61,0.39
pliers_box,135,97.5,1,333,0.2908,0.7513,0.2908,179.71,0.29
pliers_box,136,98.0,1,333,0.3516,0.3898,0.3516,179.65,0.35
pliers_box,137,98.5,1,333,0.3173,0.308,0.3173,179.68,0.32
pliers_box,138,99.0,1,333,0.3743,0.472,0.3743,179.63,0.37
pliers_box,139,99.5,1,333,0.3265,0.6305,0.3265,179.67,0.33
pliers_box,140,100.0,1,333,0.5018,0.7291,0.5018,179.5,0.5
pliers_box,141,100.5,1,333,0.4901,0.869,0.4901,179.51,0.49
pliers_box,142,101.0,1,333,0.3575,0.9556,0.3575,179.64,0.36
pliers_box,143,101.5,1,333,0.385,0.969,0.385,179.61,0.39
pliers_box,144,102.0,1,333,0.4199,0.9913,0.4199,179.58,0.42
pliers_box,145,102.5,1,333,0.3486,1.0202,0.3486,179.65,0.35
pliers_box,146,103.0,1,333,0.5019,1.0185,0.5019,179.5,0.5
pliers_box,147,103.5,1,333,0.298,1.0651,0.298,179.7,0.3
pliers_box,148,104.0,1,333,0.353,1.0907,0.353,179.65,0.35
pliers_box,149,104.5,1,333,0.2996,1.1184,0.2996,179.7,0.3
pliers_box,150,105.0,1,333,0.4586,1.0995,0.4586,179.54,0.46
pliers_box,151,105.5,1,333,0.3091,1.1244,0.3091,179.69,0.31
pliers_box,152,106.0,1,333,0.3886,1.1268,0.3886,179.61,0.39
pliers_box,153,106.5,1,333,0.343,1.1435,0.343,179.66,0.34
pliers_box,154,107.0,1,333,0.1881,1.1901,0.1881,179.81,0.19
pliers_box,155,107.5,1,333,0.2955,1.1936,0.2955,179.7,0.3
pliers_box,156,108.0,1,333,0.4543,1.1659,0.4543,179.55,0.45
pliers_box,157,108.5,1,333,0.3576,1.1715,0.3576,179.64,0.36
pliers_box,158,109.0,1,333,0.3335,1.2193,0.3335,179.67,0.33
pliers_box,159,109.5,1,333,0.3994,1.1875,0.3994,179.6,0.4
pliers_box,160,110.0,1,333,0.2943,1.2077,0.2943,179.71,0.29
pliers_box,161,110.5,1,333,0.3094,1.193,0.3094,179.69,0.31
pliers_box,162,111.0,1,333,0.3333,1.1812,0.3333,179.67,0.33
pliers_box,163,111.5,1,333,0.3231,1.1798,0.3231,179.68,0.32
pliers_box,164,112.0,1,333,0.3704,1.1906,0.3704,179.63,0.37
pliers_box,165,112.5,1,333,0.3064,1.2203,0.3064,179.69,0.31
pliers_box,166,113.0,1,333,0.3982,1.2353,0.3982,179.6,0.4
pliers_box,167,113.5,1,333,0.3879,1.2355,0.3879,179.61,0.39
pliers_box,168,114.0,1,333,0.37,1.2154,0.37,179.63,0.37
pliers_box,169,114.5,1,333,0.3101,1.1908,0.3101,179.69,0.31
pliers_box,170,115.0,1,333,0.2867,1.1987,0.2867,179.71,0.29
pliers_box,171,115.5,1,333,0.3654,1.1731,0.3654,179.63,0.37
pliers_box,172,116.0,1,333,0.3797,1.1707,0.3797,179.62,0.38
pliers_box,173,116.5,1,333,0.3817,1.1648,0.3817,179.62,0.38
pliers_box,174,117.0,1,333,0.3056,1.1912,0.3056,179.69,0.31
pliers_box,175,117.5,1,333,0.3962,1.1733,0.3962,179.6,0.4
pliers_box,176,118.0,1,333,0.1553,1.2244,0.1553,179.84,0.16
pliers_box,177,118.5,1,333,0.3509,1.2172,0.3509,179.65,0.35
pliers_box,178,119.0,1,333,0.3246,1.2106,0.3246,179.68,0.32
pliers_box,179,119.5,1,333,0.476,1.1606,0.476,179.52,0.48
pliers_box,180,120.0,1,333,0.4067,1.1411,0.4067,179.59,0.41
pliers_box,181,120.5,1,333,0.3671,1.1397,0.3671,179.63,0.37
pliers_box,182,121.0,1,333,0.3195,1.1504,0.3195,179.68,0.32
pliers_box,183,121.5,1,333,0.2754,1.1691,0.2754,179.72,0.28
pliers_box,184,122.0,1,333,0.3725,1.1602,0.3725,179.63,0.37
pliers_box,185,122.5,1,333,0.4223,1.1421,0.4223,179.58,0.42
pliers_box,186,123.0,1,333,0.2165,1.178,0.2165,179.78,0.22
pliers_box,187,123.5,1,333,0.2817,1.1901,0.2817,179.72,0.28
pliers_box,188,124.0,1,333,0.3311,1.1853,0.3311,179.67,0.33
pliers_box,189,124.5,1,333,0.3485,1.1787,0.3485,179.65,0.35
pliers_box,190,125.0,1,333,0.3317,1.1851,0.3317,179.67,0.33
pliers_box,191,125.5,1,333,0.3852,1.1759,0.3852,179.61,0.39
pliers_box,192,126.0,1,333,0.2894,1.1972,0.2894,179.71,0.29
pliers_box,193,126.5,1,333,0.3097,1.2075,0.3097,179.69,0.31
pliers_box,194,127.0,1,333,0.2472,1.2258,0.2472,179.75,0.25
pliers_box,195,127.5,1,333,0.366,1.2102,0.366,179.63,0.37
pliers_box,196,128.0,1,333,0.2629,1.2389,0.2629,179.74,0.26
pliers_box,197,128.5,1,333,0.388,1.2163,0.388,179.61,0.39
pliers_box,198,129.0,1,333,0.3217,1.2172,0.3217,179.68,0.32
pliers_box,199,129.5,1,333,0.3496,1.2103,0.3496,179.65,0.35
screwdriver_cyl,0,0.0,0,866,0.071,0.0956,0.071,179.93,179.93
screwdriver_cyl,1,0.5,0,866,0.0287,0.402,0.0287,179.97,179.97
screwdriver_cyl,2,1.0,0,866,0.1329,0.7042,0.1329,179.87,179.87
screwdriver_cyl,3,1.5,0,866,0.0355,0.9082,0.0355,179.96,179.96
screwdriver_cyl,4,2.0,0,866,0.0756,1.071,0.0756,179.92,179.92
screwdriver_cyl,5,2.5,0,866,0.0745,1.1865,0.0745,179.93,179.93
screwdriver_cyl,6,3.0,0,866,0.0914,1.2915,0.0914,179.91,179.91
screwdriver_cyl,7,3.5,0,866,0.0861,1.3645,0.0861,179.91,179.91
screwdriver_cyl,8,4.0,0,866,0.083,1.411,0.083,179.92,179.92
screwdriver_cyl,9,4.5,0,866,0.0839,1.4534,0.0839,179.92,179.92
screwdriver_cyl,10,5.0,0,866,0.0609,1.4901,0.0609,179.94,179.94
screwdriver_cyl,11,5.5,0,866,0.0309,1.5112,0.0309,179.97,179.97
screwdriver_cyl,12,6.0,0,866,0.0041,1.535,0.0041,180.0,180.0
screwdriver_cyl,13,6.5,0,866,0.0136,1.5581,0.0136,179.99,179.99
