tool_id,name,method,frame,frame_ms,n_points,d_axis0_deg,d_axis1_deg,d_axis2_deg,jitter_max_deg,flip,stable,power_iter
T01,long_nose_pliers,raw,133,0.09779,1800,0.1321,1.8147,1.8102,1.8147,0,1,0
T01,long_nose_pliers,raw,134,0.09017,1803,0.0626,2.6111,2.6118,2.6118,0,1,0
T01,long_nose_pliers,raw,135,0.09121,1804,0.2206,2.4232,2.4185,2.4232,0,1,0
T01,long_nose_pliers,raw,136,0.10308,1800,0.1635,4.9212,4.9186,4.9212,0,1,0
T01,long_nose_pliers,raw,137,0.09492,1805,0.3139,7.0277,7.0312,7.0312,0,1,0
T01,long_nose_pliers,raw,138,0.09433,1805,0.265,6.9194,6.9164,6.9194,0,1,0
T01,long_nose_pliers,raw,139,0.07912,1802,0.2226,0.2772,0.3375,0.3375,0,1,0
T01,long_nose_pliers,raw,140,0.08438,1800,0.0661,0.051,0.0691,0.0691,0,1,0
T01,long_nose_pliers,raw,141,0.08025,1800,0.0619,0.5198,0.5162,0.5198,0,1,0
T01,long_nose_pliers,raw,142,0.08129,1802,0.0643,0.9863,0.9851,0.9863,0,1,0
T01,long_nose_pliers,raw,143,0.08371,1800,0.119,0.7229,0.7222,0.7229,0,1,0
T01,long_nose_pliers,raw,144,0.09512,1800,0.0376,0.2286,0.2258,0.2286,0,1,0
T01,long_nose_pliers,raw,145,0.10775,1803,0.1968,5.5529,5.5545,5.5545,0,1,0
T01,long_nose_pliers,raw,146,0.08804,1801,0.2558,5.5568,5.557,5.557,0,1,0
T01,long_nose_pliers,raw,147,0.09933,1801,0.0742,0.5136,0.5189,0.5189,0,1,0
T01,long_nose_pliers,raw,148,0.08733,1800,0.0078,0.5288,0.5287,0.5288,0,1,0
T01,long_nose_pliers,raw,149,0.1015,1800,0.0076,0.1308,0.131,0.131,0,1,0
T01,long_nose_pliers,raw,150,0.10075,1800,0.0316,0.1277,0.1245,0.1277,0,1,0
T01,long_nose_pliers,raw,151,0.09208,1800,0.0421,0.3151,0.3175,0.3175,0,1,0
T01,long_nose_pliers,raw,152,0.09867,1800,0.0415,0.3235,0.3239,0.3239,0,1,0
T01,long_nose_pliers,raw,153,0.10117,1800,0.0291,0.109,0.112,0.112,0,1,0
T01,long_nose_pliers,raw,154,0.09433,1800,0.0262,0.0252,0.0297,0.0297,0,1,0
T01,long_nose_pliers,raw,155,0.091,1800,0.0068,0.3247,0.3246,0.3247,0,1,0
T01,long_nose_pliers,raw,156,0.09721,1800,0.0184,0.6841,0.6843,0.6843,0,1,0
T01,long_nose_pliers,raw,157,0.08396,1800,0.0424,0.2549,0.2514,0.2549,0,1,0
T01,long_nose_pliers,raw,158,0.09996,1800,0.0474,0.1023,0.0909,0.1023,0,1,0
T01,long_nose_pliers,raw,159,0.099,1803,0.1738,172.4945,172.4927,172.4945,1,1,0
T01,long_nose_pliers,raw,160,0.09642,1803,0.2092,177.0613,177.0687,177.0687,1,1,0
T01,long_nose_pliers,raw,161,0.09038,1800,0.2036,4.5509,4.5532,4.5532,0,1,0
T01,long_nose_pliers,raw,162,0.087,1800,0.0645,0.5448,0.5438,0.5448,0,1,0
T01,long_nose_pliers,raw,163,0.08992,1803,0.2437,3.0389,3.036,3.0389,0,1,0
T01,long_nose_pliers,raw,164,0.08817,1800,0.1957,2.5518,2.5474,2.5518,0,1,0
T01,long_nose_pliers,raw,165,0.07967,1804,0.1159,4.7998,4.8011,4.8011,0,1,0
T01,long_nose_pliers,raw,166,0.08158,1800,0.1121,4.7145,4.7156,4.7156,0,1,0
T01,long_nose_pliers,raw,167,0.08167,1805,0.2581,3.076,3.0733,3.076,0,1,0
T01,long_nose_pliers,raw,168,0.089,1800,0.2956,3.3086,3.3053,3.3086,0,1,0
T01,long_nose_pliers,raw,169,0.08583,1801,0.0253,1.3097,1.3097,1.3097,0,1,0
T01,long_nose_pliers,raw,170,0.08838,1800,0.0597,1.216,1.2174,1.2174,0,1,0
T01,long_nose_pliers,raw,171,0.08792,1800,0.0682,0.5612,0.5607,0.5612,0,1,0
T01,long_nose_pliers,raw,172,0.09325,1800,0.0625,0.3915,0.3906,0.3915,0,1,0
T01,long_nose_pliers,raw,173,0.09137,1800,0.0185,0.1557,0.1554,0.1557,0,1,0
T01,long_nose_pliers,raw,174,0.09492,1800,0.0473,0.2228,0.2278,0.2278,0,1,0
T01,long_nose_pliers,raw,175,0.08496,1800,0.0484,0.3014,0.304,0.304,0,1,0
T01,long_nose_pliers,raw,176,0.08129,1802,0.1596,2.4584,2.4532,2.4584,0,1,0
T01,long_nose_pliers,raw,177,0.08083,1803,0.1727,6.5922,6.5911,6.5922,0,1,0
T01,long_nose_pliers,raw,178,0.08592,1800,0.0722,4.112,4.1126,4.1126,0,1,0
T01,long_nose_pliers,raw,179,0.08642,1800,0.0383,0.3605,0.3625,0.3625,0,1,0
T01,long_nose_pliers,raw,180,0.08667,1805,0.0764,0.8979,0.8967,0.8979,0,1,0
T01,long_nose_pliers,raw,181,0.08567,1804,0.1256,4.8577,4.8571,4.8577,0,1,0
T01,long_nose_pliers,raw,182,0.088,1800,0.1002,5.7604,5.7608,5.7608,0,1,0
T01,long_nose_pliers,raw,183,0.08517,1800,0.0636,0.2728,0.2773,0.2773,0,1,0
T01,long_nose_pliers,raw,184,0.08421,1800,0.0534,0.3154,0.3125,0.3154,0,1,0
T01,long_nose_pliers,raw,185,0.09025,1800,0.082,0.0952,0.0534,0.0952,0,1,0
T01,long_nose_pliers,raw,186,0.10608,1800,0.0936,0.1037,0.0524,0.1037,0,1,0
T01,long_nose_pliers,raw,187,0.08325,1800,0.0595,0.5985,0.5956,0.5985,0,1,0
T01,long_nose_pliers,raw,188,0.08667,1800,0.0605,0.5062,0.5059,0.5062,0,1,0
T01,long_nose_pliers,raw,189,0.07987,1800,0.0655,0.2769,0.2763,0.2769,0,1,0
T01,long_nose_pliers,raw,190,0.08158,1800,0.0466,0.2984,0.2949,0.2984,0,1,0
T01,long_nose_pliers,raw,191,0.09071,1804,0.0986,2.9343,2.9359,2.9359,0,1,0
T01,long_nose_pliers,raw,192,0.09338,1800,0.1178,2.8715,2.8739,2.8739,0,1,0
T01,long_nose_pliers,raw,193,0.09104,1800,0.025,0.0716,0.0708,0.0716,0,1,0
